x, y
418.0995475113122, 4.838709677419355
451.58371040723983, 7.142857142857143
463.34841628959276, 15.668202764976959
467.87330316742083, 25.57603686635945
473.3031674208145, 36.175115207373274
476.9230769230769, 45.39170506912443
483.2579185520362, 58.294930875576036
489.59276018099547, 73.04147465437788
500.4524886877828, 83.6405529953917
516.7420814479638, 91.70506912442396
538.4615384615385, 93.31797235023042
558.3710407239819, 88.70967741935483
571.9457013574661, 81.33640552995392
585.5203619909503, 71.19815668202764
594.5701357466063, 61.52073732718894
600, 51.84331797235023
607.2398190045249, 41.474654377880185
618.0995475113123, 31.336405529953918
628.9592760180996, 24.42396313364055
649.7737556561086, 18.89400921658986
672.3981900452488, 22.580645161290324
689.5927601809955, 30.87557603686636
704.9773755656108, 36.63594470046083
732.1266968325792, 37.327188940092164
761.0859728506787, 43.08755760368663
795.4751131221719, 47.004608294930875
828.0542986425339, 48.38709677419355
855.2036199095023, 41.013824884792626
885.0678733031674, 33.87096774193549
918.552036199095, 24.88479262672811
942.0814479638009, 20.046082949308754
485.97285067873304, 64.51612903225806
506.7873303167421, 87.55760368663594
579.1855203619909, 76.036866359447
