x-axis,1,2
second,Volt,Volt
-76.0000E-09,-46.5376451612E-03,-34.9371843040E-03
-75.2188E-09,-46.5376451612E-03,-34.9371843040E-03
-74.4375E-09,-56.3868917525E-03,-34.9371843040E-03
-73.6563E-09,-65.0049825199E-03,-34.9371843040E-03
-72.8750E-09,-66.2361383438E-03,-34.9371843040E-03
-72.0938E-09,-66.2361383438E-03,-34.9371843040E-03
-71.3125E-09,-66.2361383438E-03,-34.9371843040E-03
-70.5313E-09,-66.2361383438E-03,-34.9371843040E-03
-69.7500E-09,-66.2361383438E-03,-34.9371843040E-03
-68.9687E-09,-52.6934242807E-03,-34.9371843040E-03
-68.1875E-09,-46.5376451612E-03,-34.9371843040E-03
-67.4062E-09,-46.5376451612E-03,-34.9371843040E-03
-66.6250E-09,-46.5376451612E-03,-19.8618075810E-03
-65.8437E-09,-46.5376451612E-03,-14.8366820067E-03
-65.0625E-09,-46.5376451612E-03,-21.1180889746E-03
-64.2812E-09,-46.5376451612E-03,-31.1683401233E-03
-63.5000E-09,-46.5376451612E-03,-34.9371843040E-03
-62.7187E-09,-46.5376451612E-03,-34.9371843040E-03
-61.9375E-09,-61.3115150481E-03,-34.9371843040E-03
-61.1562E-09,-66.2361383438E-03,-34.9371843040E-03
-60.3750E-09,-52.6934242807E-03,-34.9371843040E-03
-59.5937E-09,-46.5376451612E-03,-19.8618075810E-03
-58.8125E-09,-46.5376451612E-03,-14.8366820067E-03
-58.0312E-09,-32.9949310981E-03,-14.8366820067E-03
-57.2500E-09,-26.8391519785E-03,-14.8366820067E-03
-56.4687E-09,-26.8391519785E-03,-14.8366820067E-03
-55.6875E-09,-26.8391519785E-03,-14.8366820067E-03
-54.9062E-09,-41.6130218655E-03,-14.8366820067E-03
-54.1250E-09,-61.3115150481E-03,-21.1180889746E-03
-53.3437E-09,-66.2361383438E-03,-31.1683401233E-03
-52.5625E-09,-66.2361383438E-03,-34.9371843040E-03
-51.7812E-09,-66.2361383438E-03,-34.9371843040E-03
-51.0000E-09,-66.2361383438E-03,-34.9371843040E-03
-50.2187E-09,-52.6934242807E-03,-34.9371843040E-03
-49.4375E-09,-46.5376451612E-03,-34.9371843040E-03
-48.6562E-09,-46.5376451612E-03,-34.9371843040E-03
-47.8750E-09,-32.9949310981E-03,-19.8618075810E-03
-47.0937E-09,-26.8391519785E-03,-14.8366820067E-03
-46.3125E-09,-26.8391519785E-03,-14.8366820067E-03
-45.5312E-09,-26.8391519785E-03,-14.8366820067E-03
-44.7500E-09,-26.8391519785E-03,-14.8366820067E-03
-43.9687E-09,-41.6130218655E-03,-14.8366820067E-03
-43.1875E-09,-46.5376451612E-03,-14.8366820067E-03
-42.4062E-09,-46.5376451612E-03,-28.6557773361E-03
-41.6250E-09,-46.5376451612E-03,-34.9371843040E-03
-40.8437E-09,-46.5376451612E-03,-34.9371843040E-03
-40.0625E-09,-46.5376451612E-03,-27.3994959425E-03
-39.2812E-09,-46.5376451612E-03,-17.3492447939E-03
-38.5000E-09,-46.5376451612E-03,-14.8366820067E-03
-37.7187E-09,-46.5376451612E-03,-14.8366820067E-03
-36.9375E-09,-46.5376451612E-03,-14.8366820067E-03
-36.1562E-09,-32.9949310981E-03,-14.8366820067E-03
-35.3750E-09,-41.6130218655E-03,-14.8366820067E-03
-34.5937E-09,-46.5376451612E-03,-14.8366820067E-03
-33.8125E-09,-46.5376451612E-03,-28.6557773361E-03
-33.0312E-09,-46.5376451612E-03,-34.9371843040E-03
-32.2500E-09,-61.3115150481E-03,-34.9371843040E-03
-31.4687E-09,-66.2361383438E-03,-34.9371843040E-03
-30.6875E-09,-66.2361383438E-03,-34.9371843040E-03
-29.9062E-09,-66.2361383438E-03,-34.9371843040E-03
-29.1250E-09,-66.2361383438E-03,-34.9371843040E-03
-28.3437E-09,-52.6934242807E-03,-34.9371843040E-03
-27.5625E-09,-46.5376451612E-03,-34.9371843040E-03
-26.7812E-09,-46.5376451612E-03,-19.8618075810E-03
-26.0000E-09,-46.5376451612E-03,-14.8366820067E-03
-25.2187E-09,-46.5376451612E-03,-14.8366820067E-03
-24.4375E-09,-46.5376451612E-03,-28.6557773361E-03
-23.6562E-09,-46.5376451612E-03,-34.9371843040E-03
-22.8750E-09,-46.5376451612E-03,-34.9371843040E-03
-22.0937E-09,-61.3115150481E-03,-34.9371843040E-03
-21.3125E-09,-66.2361383438E-03,-34.9371843040E-03
-20.5312E-09,-66.2361383438E-03,-34.9371843040E-03
-19.7500E-09,-66.2361383438E-03,-34.9371843040E-03
-18.9687E-09,-66.2361383438E-03,-34.9371843040E-03
-18.1875E-09,-52.6934242807E-03,-34.9371843040E-03
-17.4062E-09,-46.5376451612E-03,-19.8618075810E-03
-16.6250E-09,-41.6130218655E-03,-14.8366820067E-03
-15.8437E-09,-30.5326194502E-03,-14.8366820067E-03
-15.0625E-09,-13.2964379154E-03,-14.8366820067E-03
-14.2812E-09,+6.4020552672E-03,-14.8366820067E-03
-13.5000E-09,+12.5578343868E-03,-14.8366820067E-03
-12.7187E-09,+12.5578343868E-03,-14.8366820067E-03
-11.9375E-09,+26.1005484499E-03,-14.8366820067E-03
-11.1562E-09,+45.7990416326E-03,-14.8366820067E-03
-10.3750E-09,+65.4975348152E-03,-14.8366820067E-03
-9.5937E-09,+82.7337163500E-03,-14.8366820067E-03
-8.8125E-09,+103.6633653566E-03,-14.8366820067E-03
-8.0312E-09,+139.3668842502E-03,-14.8366820067E-03
-7.2500E-09,+178.7638706155E-03,-14.8366820067E-03
